assessment_year,industry,company_id,parent_aspect,aspect,score_weight,score_value
2013,BNK Banks,873831,Social Dimension,Talent Attraction & Retention,6,65.96087
2013,BNK Banks,873831,,S&P Global ESG Score,100,82.906961
2013,BNK Banks,874155,Environmental Dimension,Business Risks and Opportunities,9,94.6
2013,BNK Banks,874155,Environmental Dimension,Climate Strategy,4,64.2
2013,BNK Banks,874155,Environmental Dimension,Environmental Policy & Management Systems,4,72.1036
2013,BNK Banks,874155,Environmental Dimension,Environmental Reporting,3,72.25
2013,BNK Banks,874155,Environmental Dimension,Operational Eco-Efficiency,4,50.15
2013,BNK Banks,874155,Governance & Economic Dimension,Anti-crime Policy & Measures,4,96.78
2013,BNK Banks,874155,Governance & Economic Dimension,Brand Management,4,91.25
2013,BNK Banks,874155,Governance & Economic Dimension,Codes of Business Conduct,7,82.8
2013,BNK Banks,874155,Governance & Economic Dimension,Corporate Governance,7,75.588652
2013,BNK Banks,874155,Governance & Economic Dimension,Customer Relationship Management,6,84.25
2013,BNK Banks,874155,Governance & Economic Dimension,Financial Stability & Systemic Risk,4,100.0
2013,BNK Banks,874155,Governance & Economic Dimension,Risk & Crisis Management,6,99.25
2013,BNK Banks,874155,Governance & Economic Dimension,Supply Chain Management,3,56.982353
2013,BNK Banks,874155,S&P Global ESG Score,Environmental Dimension,24,75.58185
2013,BNK Banks,874155,S&P Global ESG Score,Governance & Economic Dimension,41,86.165552
2013,BNK Banks,874155,S&P Global ESG Score,Social Dimension,35,80.143432
2013,BNK Banks,874155,Social Dimension,Controversial Issues: Dilemmas in Lending & Financing,4,57.1
2013,BNK Banks,874155,Social Dimension,Corporate Citizenship & Philanthropy,3,98.0
