ticker,FQ22021,FQ12021,FQ42020,FQ32020,FQ22020,FQ12020,FQ42019,FQ32019,FQ22019,FQ12019,FQ42018,FQ32018,FQ22018,FQ12018
CSAB4,,,,,,,,,,,,,,
CTNM4,,,,,,,,,,,,,,
CEGR3,,,,,,,,,,,,,,
CEBR5,,,,,,,,,,,,,,
CMIG4,,,,,,,,,,,,,,
CEPE5,,,,,,,,,,,,,,
COCE5,,,,,,,,,,,,,,
CSRN3,,,,,,,,,,,,,,
CEED3,,,,,,,,,,,,,,
EEEL3,,,,,,,,,,,,,,
HBTS5,,,,,,,,,,,,,,
MSPA3,,,,,,,,,,,,,,
CPLE6,,,,,,,,,,,,,,
CSNA3,3.056482745,2.495522545,2.946803944,5.267459233,10.67530287,,4.660888178,,3.30380798,,1.781913178,4.421511077,2.298057469,2.028509783
CTSA4,,,,,,,,,,,,,,
CEEB3,,,,,,,,,,,,,,
PASS3,,,,,,,,,,,,,,
BRGE12,,,,,,,,,,,,,,
TEND3,,,,,,,,,,,,,,
CORR4,,,,,,,,,,,,,,
CSAN3,,,,,,,,,,,,,,
CPFE3,,,,,,,,,,,,,,
CRDE3,,,,,,,,,,,,,,
HGFF11,,,,,,,,,,,,,,
HGPO11,,,,,,,,,,,,,,
HGRU11,,,,,,,,,,,,,,
CMIN3,,,,,,,,,,,,,,
CARD3,,,,,,,,,,,,,,
TRPL4,,,,,,,,,,,,,,
CURY3,,,,,,,,,,,,,,
CVCB3,,,,,,,,,,,,,,
CXRI11,,,,,,,,,,,,,,
CYRE3,8.403784944,12.3227819,10.83823529,1.591964007,22.94084575,48.62353751,19.12670395,22.15609684,17.56282086,32.31251986,,,51.94559879,
SYNE3,63.69085849,62.33933162,77.84090909,14.42243191,,35.30710764,19.97641509,69.34032984,,122.1153846,,,13.23905053,38.18061089
DMVF3,,,,,,,,,,,,,,
DESK3,,,,,,,,,,,,,,
DXCO3,,,,,,,,,,,,,,
DEXP3,,,,,,,,,,,,,,
DASA3,,,,,,,,,,,,,,
PNVL3,,,,,,,,,,,,,,
DIRR3,12.5,17.25,12.12037037,17.81578947,17.08695652,29.92857143,19.73684211,18.16176471,16.47058824,15.48214286,15.625,,,
DOHL4,,,,,,,,,,,,,,
DMMO3,,,,,,,,,,,,,,
DOTZ3,,,,,,,,,,,,,,
DTCY3,,,,,,,,,,,,,,
ECOR3,,,,,,,,,,,,,,
ENBR3,,,,,,,,,,,,,,
EALT4,,,,,,,,,,,,,,
EKTR4,,,,,,,,,,,,,,
LIPR3,,,,,,,,,,,,,,
ELMD3,,,,,,,,,,,,,,
EPAR3,,,,,,,,,,,,,,
EMBR3,,,,,,,,,,,,,,
PGMN3,,,,,,,,,,,,,,
EMAE4,,,,,,,,,,,,,,
ECPR4,,,,,,,,,,,,,,
ENAT3,,,,,,,,,,,,,,
ENMT4,,,,,,,,,,,,,,
ENGI3,,,,,,,,,,,,,,
ENEV3,,,,,,,,,,,,,,
EGIE3,,,,,,,,,,,,,,
ENJU3,,,,,,,,,,,,,,
EQTL3,,,,,,,,,,,,,,
EQPA3,,,,,,,,,,,,,,
ETER3,,,,,,,,,,,,,,
BOVB11,,,,,,,,,,,,,,
IMBB11,,,,,,,,,,,,,,
B5MB11,,,,,,,,,,,,,,
EUCA4,,,,,,,,,,,,,,
ERPA11,,,,,,,,,,,,,,
EVEN3,9.980916031,6.386138614,,14.3556701,21.43410853,9.092261905,49.87179487,33.65384615,20.14563107,6.41025641,,,,
KINP11,,,,,,,,,,,,,,
BAUH4,,,,,,,,,,,,,,
EZTC3,12.15234375,23.56617647,17.2983871,16.31481481,32.17741935,21.21428571,27.37341772,33.51851852,37.79411765,63.80948272,23.69322251,20.48778581,45.30886539,174.8503949
FCCQ11,,,,,,,,,,,,,,
HTMX11,,,,,,,,,,,,,,
FHER3,,,,,,,,,,,,,,
ABCP11,,,,,,,,,,,,,,
BTAL11,,,,,,,,,,,,,,
CRIV3,,,,,,,,,,,,,,
FNOR11,,,,,,,,,,,,,,
FSPE11,,,,,,,,,,,,,,
FSTU11,,,,,,,,,,,,,,
FLRY3,,,,,,,,,,,,,,
POWE3,,,,,,,,,,,,,,
FRAS3,,,,,,,,,,,,,,
FNAM11,,,,,,,,,,,,,,
TORM13,,,,,,,,,,,,,,
ESUU11,,,,,,,,,,,,,,
FAED11,,,,,,,,,,,,,,
BPRP11,,,,,,,,,,,,,,
BRCR11,,,,,,,,,,,,,,
EDGA11,,,,,,,,,,,,,,
RECT11,,,,,,,,,,,,,,
FATN11,,,,,,,,,,,,,,
BARI11,,,,,,,,,,,,,,
CNES11,,,,,,,,,,,,,,
BPML11,,,,,,,,,,,,,,
CEOC11,,,,,,,,,,,,,,
IBFF11,,,,,,,,,,,,,,
HCTR11,,,,,,,,,,,,,,
MCCI11,,,,,,,,,,,,,,
WTSP11B,,,,,,,,,,,,,,
RFOF11,,,,,,,,,,,,,,
ONEF11,,,,,,,,,,,,,,
TCIN11,,,,,,,,,,,,,,
FTCE11B,,,,,,,,,,,,,,
CVBI11,,,,,,,,,,,,,,
PVBI11,,,,,,,,,,,,,,
RBRM11,,,,,,,,,,,,,,
FDES11,,,,,,,,,,,,,,
BTCR11,,,,,,,,,,,,,,
NVHO11,,,,,,,,,,,,,,
XPOM11,,,,,,,,,,,,,,
WPLZ11,,,,,,,,,,,,,,
RBRR11,,,,,,,,,,,,,,
RECR11,,,,,,,,,,,,,,
IRDM11,,,,,,,,,,,,,,
MGFF11,,,,,,,,,,,,,,
RBRF11,,,,,,,,,,,,,,
TGAR11,,,,,,,,,,,,,,
VTLT11,,,,,,,,,,,,,,
RBRY11,,,,,,,,,,,,,,
FMOF11,,,,,,,,,,,,,,
G2DI33,,,,,,,,,,,,,,
GFSA3,24.72222222,25.55555556,3.582959937,,,,1.540037272,,,,0.561281149,,,
GCFF11,,,,,,,,,,,,,,
GSFI11,,,,,,,,,,,,,,
GSHP3,0.140008638,,0.228109493,,,,0.933340791,,,,,,,
GGBR4,3.232532751,5.283216783,10.0204918,11.30434783,22.23611111,19.32692308,100,19.35294118,17.27272727,14.55769231,16.84090909,9.342391304,8.69375,14.90384615
NINJ3,,,,,,,,,,,,,,
GGRC11,,,,,,,,,,,,,,
GOLL4,,,,,,,,,,,,,,
GPIV33,,,,,,,,,,,,,,
GGPS3,,,,,,,,,,,,,,
CGRA4,,,,,,,,,,,,,,
GRND3,,,,,,,,,,,,,,
SOMA3,,,,,,,,,,,,,,
GMAT3,,,,,,,,,,,,,,
RCFA11,,,,,,,,,,,,,,
SBFG3,,,,,,,,,,,,,,
GUAR3,,,,,,,,,,,,,,
HABT11,,,,,,,,,,,,,,
HAGA4,,,,,,,,,,,,,,
HAPV3,,,,,,,,,,,,,,
HBRE3,,,,,,,,,,,,,,
HLOG11,,,,,,,,,,,,,,
HPDP11,,,,,,,,,,,,,,
HRDF11,,,,,,,,,,,,,,
HFOF11,,,,,,,,,,,,,,
HBOR3,9.170619207,10.55876499,131.7887931,111.2068966,,57.31707317,,,,,,,,
HETA4,,,,,,,,,,,,,,
HBSA3,,,,,,,,,,,,,,
MATD3,,,,,,,,,,,,,,
NSLU11,,,,,,,,,,,,,,
HOOT4,,,,,,,,,,,,,,
HSAF11,,,,,,,,,,,,,,
HSML11,,,,,,,,,,,,,,
HUSI11,,,,,,,,,,,,,,
HYPE3,,,,,,,,,,,,,,
PDTC3,,,,,,,,,,,,,,
IFIE11,,,,,,,,,,,,,,
IGBR3,,,,,,,,,,,,,,
IGTA3,6.400316456,40.81365402,19.9791335,21.9260717,31.37819427,116.3786683,21.07704077,24.36386377,34.29206842,31.53868594,24.47749953,21.22641509,22.81875222,30.24466905
LGCP11,,,,,,,,,,,,,,
VSEC11,,,,,,,,,,,,,,
ROMI3,,,,,,,,,,,,,,
INEP4,,,,,,,,,,,,,,
IFCM3,,,,,,,,,,,,,,
PARD3,,,,,,,,,,,,,,
INTB3,,,,,,,,,,,,,,
BICR11,,,,,,,,,,,,,,
MEAL3,,,,,,,,,,,,,,
MYPK3,,,,,,,,,,,,,,
RANI3,,,,,,,,,,,,,,
IRBR3,,,,,,,,,,,,,,
SMAL11,,,,,,,,,,,,,,
BOVA11,,,,,,,,,,,,,,
BRAX11,,,,,,,,,,,,,,
ECOO11,,,,,,,,,,,,,,
IVVB11,,,,,,,,,,,,,,
BOVV11,,,,,,,,,,,,,,
IMAB11,,,,,,,,,,,,,,
DIVO11,,,,,,,,,,,,,,
FIND11,,,,,,,,,,,,,,
GOVE11,,,,,,,,,,,,,,
IB5M11,,,,,,,,,,,,,,
MATB11,,,,,,,,,,,,,,
IRFM11,,,,,,,,,,,,,,
ISUS11,,,,,,,,,,,,,,
PIBB11,,,,,,,,,,,,,,
SPXI11,,,,,,,,,,,,,,
SMAC11,,,,,,,,,,,,,,
ITUB4,8.71068936,12.05397699,8.638441749,11.65977099,36.21827166,16.31926677,10.46321292,16.62512363,13.61716318,12.45757622,13.03804907,11.75115355,11.47545819,13.06589389
ITSA4,,,,,,,,,,,,,,
JALL3,,,,,,,,,,,,,,
JBSS3,,,,,,,,,,,,,,
JPSA3,,,,,,,,,,,,,,
JHSF3,3.918292551,6.29408573,6.739265498,7.121347766,4.537553045,29.81260647,4.753967196,6.202820528,77.00534759,19.4691672,3.278912494,1.256337277,18.78415301,
JFEN3,,,,,,,,,,,,,,
JOPA4,,,,,,,,,,,,,,
JPPA11,,,,,,,,,,,,,,
JSLG3,,,,,,,,,,,,,,
KLAS3,,,,,,,,,,,,,,
CTKA4,,,,,,,,,,,,,,
KEPL3,,,,,,,,,,,,,,
KNHY11,,,,,,,,,,,,,,
KNIP11,,,,,,,,,,,,,,
KLBN4,,,,,,,,,,,,,,
KRSA3,,,,,,,,,,,,,,
LAVV3,,,,,,,,,,,,,,
LASC11,,,,,,,,,,,,,,
LIGT3,,,,,,,,,,,,,,
LVTC3,,,,,,,,,,,,,,
RENT3,,,,,,,,,,,,,,
LWSA3,,,,,,,,,,,,,,
LOFT11B,,,,,,,,,,,,,,
LFTT11,,,,,,,,,,,,,,
LOGG3,,,,,,,,,,,,,,
LOGN3,,,,,,,,,,,,,,
LAME4,,,,,,,,,,,,,,
LJQQ3,,,,,,,,,,,,,,
LREN3,,,,,,,,,,,,,,
LPSB3,,,,,,,,,,,,,,
LUGG11,,,,,,,,,,,,,,
LUPA3,,,,,,,,,,,,,,
MDIA3,,,,,,,,,,,,,,
DMAC11,,,,,,,,,,,,,,
MGLU3,,,,,,,,,,,,,,
LEVE3,,,,,,,,,,,,,,
MALL11,,,,,,,,,,,,,,
MGEL4,,,,,,,,,,,,,,
ESTR4,,,,,,,,,,,,,,
POMO4,,,,,,,,,,,,,,
MRFG3,,,,,,,,,,,,,,
AMAR3,,,,,,,,,,,,,,
CASH3,,,,,,,,,,,,,,
MELK3,,,,,,,,,,,,,,
MERC3,,,,,,,,,,,,,,
FRIO3,,,,,,,,,,,,,,
MTIG4,,,,,,,,,,,,,,
GOAU4,,,,,,,,,,,,,,
RSUL4,,,,,,,,,,,,,,
